Price,Quantity,Type,Timestamp
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37917000,0.4505,0,2022.5.22 0:37
37915000,0.1595,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37913000,0.063,0,2022.5.22 0:37
37912000,1.9088,0,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37863000,0.0309,0,2022.5.22 0:37
37861000,0.0306,0,2022.5.22 0:37
37859000,0.0485,0,2022.5.22 0:37
37857000,0.0571,0,2022.5.22 0:37
37855000,0.0003,0,2022.5.22 0:37
37871000,0.0086,1,2022.5.22 0:37
37872000,0.0478,1,2022.5.22 0:37
37880000,0.5531,1,2022.5.22 0:37
37881000,0.5178,1,2022.5.22 0:37
37882000,0.1642,1,2022.5.22 0:37
37918000,4.2025,0,2022.5.22 0:37
37917000,0.3466,0,2022.5.22 0:37
37915000,0.063,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37912000,1.9088,0,2022.5.22 0:37
37937000,0.0813,1,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37921000,0.0731,0,2022.5.22 0:37
37919000,0.1598,0,2022.5.22 0:37
37918000,4.1905,0,2022.5.22 0:37
37917000,0.3466,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37921000,0.1593,0,2022.5.22 0:37
37918000,4.1905,0,2022.5.22 0:37
37917000,0.4096,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37912000,1.9088,0,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37919000,0.1593,0,2022.5.22 0:37
37918000,4.1905,0,2022.5.22 0:37
37917000,0.4096,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37912000,1.9088,0,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37918000,4.1812,0,2022.5.22 0:37
37917000,0.4096,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37912000,1.9088,0,2022.5.22 0:37
37910000,0.4174,0,2022.5.22 0:37
37938000,0.022,1,2022.5.22 0:37
37939000,0.1197,1,2022.5.22 0:37
37940000,0.4378,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37921000,0.1589,0,2022.5.22 0:37
37920000,0.4085,0,2022.5.22 0:37
37918000,4.168,0,2022.5.22 0:37
37917000,0.3466,0,2022.5.22 0:37
37914000,0.0824,0,2022.5.22 0:37
37939000,0.0094,1,2022.5.22 0:37
37940000,0.0222,1,2022.5.22 0:37
37941000,0.0579,1,2022.5.22 0:37
37947000,0.0737,1,2022.5.22 0:37
37949000,0.6611,1,2022.5.22 0:37
37933000,0.03,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37920000,2.3474,0,2022.5.22 0:38
37919000,0.1588,0,2022.5.22 0:38
37918000,4.168,0,2022.5.22 0:38
37939000,0.001,1,2022.5.22 0:38
37940000,0.0222,1,2022.5.22 0:38
37941000,0.0579,1,2022.5.22 0:38
37947000,0.0737,1,2022.5.22 0:38
37949000,0.6611,1,2022.5.22 0:38
37933000,0.03,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37921000,0.1589,0,2022.5.22 0:38
37920000,2.3474,0,2022.5.22 0:38
37918000,4.168,0,2022.5.22 0:38
37939000,0.001,1,2022.5.22 0:38
37940000,0.0222,1,2022.5.22 0:38
37941000,0.0579,1,2022.5.22 0:38
37947000,0.0737,1,2022.5.22 0:38
37949000,0.6611,1,2022.5.22 0:38
37929000,0.3411,0,2022.5.22 0:38
37927000,0.1592,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37924000,0.074,0,2022.5.22 0:38
37921000,0.6,0,2022.5.22 0:38
37949000,0.245,1,2022.5.22 0:38
37955000,0.0718,1,2022.5.22 0:38
37956000,0.0003,1,2022.5.22 0:38
37957000,0.053,1,2022.5.22 0:38
37958000,0.0006,1,2022.5.22 0:38
37929000,0.4123,0,2022.5.22 0:38
37927000,0.158,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37924000,0.074,0,2022.5.22 0:38
37921000,0.5583,0,2022.5.22 0:38
37947000,0.062,1,2022.5.22 0:38
37949000,0.2396,1,2022.5.22 0:38
37955000,0.0718,1,2022.5.22 0:38
37956000,0.0003,1,2022.5.22 0:38
37957000,0.053,1,2022.5.22 0:38
37930000,0.1584,0,2022.5.22 0:38
37929000,0.3812,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37925000,0.6,0,2022.5.22 0:38
37924000,0.137,0,2022.5.22 0:38
37947000,0.062,1,2022.5.22 0:38
37949000,0.2396,1,2022.5.22 0:38
37955000,0.0721,1,2022.5.22 0:38
37956000,0.0003,1,2022.5.22 0:38
37957000,0.053,1,2022.5.22 0:38
37929000,0.4003,0,2022.5.22 0:38
37927000,0.1584,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37924000,0.137,0,2022.5.22 0:38
37921000,0.6,0,2022.5.22 0:38
37947000,0.062,1,2022.5.22 0:38
37949000,0.2396,1,2022.5.22 0:38
37954000,0.0003,1,2022.5.22 0:38
37955000,0.0721,1,2022.5.22 0:38
